,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
1996,3XBXDSS888HRBRYYBZMCP5NCV6LXLE##3M1CVSFP613TSV4CIX8WB37WII3QAF##AJ7NSZOAFP05U##Blog_1090749##q1_a1##3FSEU3P2NTEXBI66RIPGEXYVTR4RRD,"This is the circulatory system of the soul according to many long effective remedies of the homeopathic or genre we have detailed throughout these books . Clearly acupuncture works and it has for thousands of years but only now are researches of a truly open - minded nature taking place . For that reason , mainstream medicine has concentrated on assessing and treating these medical problems during much of the twentieth century , for the most part leaving aside another integral part of the cardiovascular picture : the effect of stress on the heart , blood and blood vessels .",What might be true about mainstream medicine ?,It 's focused on the effect of stress on the heart .,None of the above choices .,It focuses on curing every illness .,It only focuses on curing some illnesses .,3,0,[-1.346 -2.426 -4.05  -1.991],0,[-17.859138 -26.106997 -26.761745 -20.01634 ]
2003,3O2Y2UIUCS8ELOO2A3GPWWYYVCCFKS##3OLQQLKKNV4URAGIN9292J9AWYXEJF##A2KYOM2ZGYDJGT##Blog_1532372##q1_a1##3P4ZBJFX2XH5GOIJZHZSK7STIQFWFD,"Once they got it they pushed me down and took of running . I ' m not too concered with my wallet , because i actually keep a spare . The one they took was my spare . It had a debit card in it ( which has been cancelled ) and about $ 30 .",Why did they push me down and take off running ?,The wallet had a debit card in it .,I 'm not too concerned with my wallet .,None of the above choices .,I keep a spare wallet .,2,1,[-1.     2.059 -1.936 -2.697],1,[-29.039438 -22.6157   -26.988379 -27.648142]
2027,3RKHNXPHGYA346LS5SBOIWZ26COUKW##38YMOXR4MXECKFN2OQ2QFLB5IGOW6I##A2MHM7JK1T9XHR##Blog_1359234##q2_a1##3O2Y2UIUCS8ELOO2A3GPWWYZWYLFKC,"The weather was starting to bother me quite a bit , and I really wanted to leap into her arms for warmth , but I know that would be utterly foolish , and quite impossible . She pulls out the affirmation I wrote the previous day , and holds it to her face , possibly reading , or maybe just to let me know that she retained it . She takes a sip of her hot chocolate , wincing slightly as she burns her tongue . Her phone rings , and she excuses herself to take the call .",Why may it be foolish for me to leap into her arms ?,Because she is on the phone,Because she is not happy with me,None of the above choices .,Because it is too warm,1,2,[-7.21  -4.14  -2.5   -6.176],2,[-30.115623 -26.825022 -26.412724 -29.55732 ]
2029,3ZQX1VYFTD392B0NGJQC1NADZ26O83##3OVHNO1VE7Z04U8FP3IBSXR67HCZDW##A2KYOM2ZGYDJGT##Blog_289239##q1_a1##3N7PQ0KLI73GJCGZUM4KXSWW8MV3E1,Now we have to sign Caroline up for soccer and I 'll have the full title . I hopped on a train and headed into the city to meet up with Peter who was giving an interview for Ugo.com . I watched an episode of Monk I had n't seen on my iPhone .,Why did the writer watch an episode of Monk on their iphone ?,Because they wanted to do something during the train ride .,Because they were going to meet up with Peter .,None of the above choices .,Because they want the full title .,0,2,[-3.176 -5.457 -2.12  -2.992],1,[-23.345743 -23.314938 -26.083784 -30.359192]
2034,3P888QFVX58U24ZQMBJCFCJLMJVOQF##3YHH42UU5EU1VAPOINF7X9KY6V4L0W##AO33H4GL9KZX9##Blog_396648##q1_a1##3U74KRR67OZPCZR620DU5SU3GNJTNR,"I ' ve completed my first week with the new job and it 's going ok . In a nutshell , I am handling the initial proceedings for in - custody misdemeanor defendants and helping the student interns become more comfortable with court appearances and client interviews . It 's been a little frustrating because the attorneys who are supposed to be helping break me in have been out sick , in court , and generally trying to take care of their own matters .",What might happen with the roles in my job as the time passes ?,I might get less serious cases and duties as my experiences grow .,I might get less serious cases and duties as my experiences stagnates .,I might get more serious cases and duties as my experiences stagnates .,None of the above choices .,3,0,[ 7.406  5.527  5.836 -1.92 ],0,[-20.265455 -23.739182 -21.736626 -23.803791]
2036,322ZSN9Z5GIOW2IT0XMYEL0VWX1T4F##3GFK2QRXXAF16MOHZAGLVH9WFA0W5B##A33PQXKQHFVF3V##Blog_1126569##q1_a1##3A9LA2FRWUS4JKEF4CJEPBID72SHX9,"And the practice of keeping everything so simple and downplaying complex theology , in the name of appealing to the common man , can have little to say to the kind of person who asks hard questions and yearns for hard answers . Is n't it true that hard - core non - believers mock the megachurch kind of worship ? Is n't it true that the megachurches appeal mostly to people who are already Christians ?",What possible point could I be trying to make here ?,That people who attend megachurches are looking into the hard answers .,That Megachurches are something that even non - believers respect .,That megachurches are corporations and not in it for the religion .,That common Christians do n't really care about religion .,2,1,[-0.779  2.428 -2.346 -0.961],0,[-26.397064 -28.79153  -27.689346 -28.699982]
2042,3MJ28H2Y1GM59IGS2JV9H1OUQN85OJ##3VW6495TLMFIS4S89AF6J9GERGEYYF##A1OPGPTQJ48XOY##Blog_699072##q1_a1##3E24UO25Q141SMG6725E972UMPDO6Q,I woke up tired even though I got like 10 hours sleep . I had to go to Target because tomorrow is Easter . Chris says we have to get them baskets from the Easter bunny . I thought we just handed them baskets .,What will happen when you give the kids the baskets tomorrow ?,I will tell the kids they must grow up and provide them with their easter baskets,I will tell the kids that the easter bunny is not real and give them the bunny,I will tell them where to find the easter baskets and make sure they realize we 've bought them from the store,Chris will dress up in a bunny suit and give the kids the baskets so they think it 's coming from the real easter bunny,3,0,[ 1.715  -2.623   0.1433 -1.798 ],2,[-28.991396 -28.998394 -19.22287  -24.851803]
2048,3VCK0Q0PO7SOWQUF4YPKLHSYJ2AN0D##3JW0YLFXRWVAEU28F8FUDFAI4O4WWG##AXJ1PE87PD0KK##Blog_1539939##q1_a2##30F94FBDNTYNBQ29ZA8LEXU9ZXLTBG,"I was working in dubai in 2007 on employment visa but all of sudden i met the accident & i left for my country in November , then becouse of some major problem i was not able go back , when i lef the dubai i had big problem in office so i left from dubai . My employment visa i got in May -2007 , How can i check my status ? How to check absconding status ? What will be my work permitt status ?",What is my goal in asking these questions ?,I want to start working in Dubai again .,I want to know how to return to my country .,I am trying to heal from a car accident .,I had to leave my country because of a major problem .,0,1,[-1.1     4.79   -1.439   0.5444],1,[-29.823341 -18.954723 -25.48935  -23.473331]
2058,3MQKOF1EE428I44N8B42W7P97J3DW2##3Y4W8Q93L2ZYQZ2C8358ZP2JSUWVDO##A3GVXFBYAU9HP##Blog_401004##q1_a1##3WRBLBQ2GTMIMYDTHUCPVXJ2JFF0GQ,"That was History and all we were doing was coursework and not much fun . So instead I will talk about music . I did a couple of weeks ago post about music and how people judge others on their music taste and this next bit is some sort of a follow on . It came to my attention that I have a lot of music songs which are titled with , what many people would say , emo and/or death connections . For example Hearts Burst Into Fire by Bullet For My Valentine , Famous Last Words by My Chemical Romance , Pain by Three Days Grace .",Why do I have a lot of music songs that are titled with emo and/or death connections ?,I do n't emotionally understand those types of songs .,Those types of songs relate to my current physical state .,None of the above choices .,I do not connect physically with those types of songs .,2,3,[ 3.84   -1.166   0.2644  4.984 ],0,[-22.790747 -28.48074  -25.255161 -25.509712]
2059,35XW21VSVISY9ZB61NSPIVUS96NSLB##31Q0U3WYDSU2NEL4ACIXS9L7GKF71K##A1OPGPTQJ48XOY##Blog_198445##q1_a1##3QTFNPMJC8WLYB058S2CRGVK1KBNZ9,"There 's physical torture in the form of us having to sit in uncomfortable positions all day long and spending the night strapped to a metal chair inside of a cage . We all have cuts and bruises from that , and some of my peers were beaten up a little bit . Were you saying they told you that you should be worried about yourself and your safety even once released to the U.S. ?",What might happen once you are released to the US ?,We would be interrogated by the US officers before being set free,We would be treated as terrorists and inspected before being set free,We would be interrogated to see if we had forsaken our nationality,We will be welcomed home as heroes and the torture of captivity would finally be over,3,1,[ 0.2306  1.401  -4.06   -1.343 ],0,[-22.05817  -23.231903 -26.817284 -27.940063]
2068,3IZVJEBJ6CYDRQUD9BGVP59Y3PKZ6W##3QAPZX2QN7SVUO3G8HX2IDLPUKR028##AO33H4GL9KZX9##Blog_286820##q1_a1##3KQC8JMJGE6S3M71KNCQIVT90W83HQ,"It looked as if sunlight that had been stored in the sky begging to be let out . It was late afternoon ; the winter sun angles low , casting beautifully elongated shadows . The sun was piercing through storm clouds and when I glanced up at the hills , there was a mighty rainbow . It was so clear , so real and so close that I felt as if I could drive up to Mount Osmond , open the window , stretch my arm out , and feel the essence of rainbow flowing between my fingers .",What kind of weather pattern might have I had ?,i might have had a storm come through .,i might have had a tornado come through .,None of the above choices .,i might have had a snow storm come through .,0,2,[-2.07  -5.297 -1.912 -4.797],3,[-21.212526 -29.59861  -26.284765 -18.429468]
2071,3YGYP13643NCWKEEYB8Z5DTLSZ4RNO##3VFJCI1K42E99CVM19164DGDJNARGP##A3GVXFBYAU9HP##Blog_550722##q1_a1##367O8HRHKIM2BR4LVVT8WESHNOG4SQ,"Feet that were scared to death I must say . The late nights , diaper bags , potty training and teething seemed like a really long time ago in those first days of finding out . It seemed our six year old was a baby in another lifetime ! Sadly , the day before we were to hear the baby 's heartbeat , I miscarried .",How would our six year old feel after finding out that I miscarried ?,They would be upset that they were n't going to be a little sister .,They would be upset that they were n't going to change diapers .,They would be upset that they were n't going to be a big sister .,None of the above choices .,2,0,[ 1.819  -1.853   0.8164 -1.754 ],0,[-16.336365 -26.83352  -17.048506 -25.28725 ]
2074,3XUSYT70IVFFAE32F4BHPCG45SN0DB##34X6J5FLPWDJOD6NW0X9W0YOE69QJ0##AO33H4GL9KZX9##Blog_582188##q1_a1##3QI9WAYOGSPGQE8ZEJMNTCCVJCC6SX,I had no idea what gotten into me ... it was the most bizarre thing ! That night I got into an argument with my brother . I lost it and let him have it ... I was so emotional about the whole thing that even John was like what has gotten into you ! ! So meanwhile I still have not started which I thought was a little odd too because I ' m usually on time !,What might I have to do in order to meet the deadline and be on time ?,None of the above choices .,I might have to get started on it and work past the deadline to finish it .,I might have to get started on it immediately and pull an all - nighter to finish it .,I might have to get started on it immediately but procrastinate to finish it .,2,3,[-2.65  -1.383 -2.1   -1.026],3,[-25.75786  -23.600876 -25.485722 -20.087713]
2078,3JMQI2OLF1JIVAV9GADF0OCHCYJNDJ##3QECW5O0KKGO9UJUO2NA0VQ6FMUT5V##A2KYOM2ZGYDJGT##Blog_487865##q1_a1##3TTPFEFXCVYR05UJ3PAOPY5TAYH6HS,"This time there is no rain in the forecast , even though we need rain . It 's dry and dusty here . Sunday Trevor has a scrimmage game in the morning and then we may be going to my in - laws for an end of the summer cook out . The only downside to that is I will probably have to bring my own food and that makes me feel kind of weird and different since everyone else can just eat whatever they want .",Why does Trevor have a scrimmage game ?,None of the above choices .,Because there is no rain in the forecast .,Because they need rain .,Because it 's dry and dusty there .,0,2,[-2.004 -4.555 -1.802 -7.902],1,[-25.928696 -20.02089  -30.030972 -28.877132]
2087,33KGGVH24WVTF9T12NGTXO26QB7X1X##3DI28L7YXDTNWT0EXKW3YJDO2JS1EX##A2MHM7JK1T9XHR##Blog_1337144##q1_a1##34OWYT6U3YVEEJ717EVL9KXA0HN9IS,"It was so crammed that my face is a mere few inches away from that of and Asian man , and a middle Eastern man . The middle Eastern had his back to us while the Asian and I faced each other . All of the sudden the Asian went to sneeze and could n't get his arm up very quick since it was packed in . He sort of caught it but also may have breathed out some air onto the back of the Middle Eastern .",What may happen after the Asian man breathed some air onto the back of the Middle Eastern man ?,The Asian man will say bless you,I will say bless you,None of the above choices .,I will apologize,1,2,[-4.363 -3.812 -3.492 -5.324],3,[-29.806273 -28.834051 -26.329554 -22.698875]
2089,33KGGVH24WVTF9T12NGTXO26QB7X1X##3DI28L7YXDTNWT0EXKW3YJDO2JS1EX##A2MHM7JK1T9XHR##Blog_1337144##q1_a2##3UQVX1UPFUVS745MIFR0TTP08HW20Y,"It was so crammed that my face is a mere few inches away from that of and Asian man , and a middle Eastern man . The middle Eastern had his back to us while the Asian and I faced each other . All of the sudden the Asian went to sneeze and could n't get his arm up very quick since it was packed in . He sort of caught it but also may have breathed out some air onto the back of the Middle Eastern .",What may happen after the Asian man breathed some air onto the back of the Middle Eastern man ?,I will apologize,The Asian man will say excuse me,None of the above choices .,The Asian man will say bless you,1,2,[-5.324 -5.715 -3.492 -4.363],0,[-22.698875 -25.391024 -26.329554 -29.806273]
2092,3VEI3XUCZRVX5GRKUS9RH4A8Z41RPK##3PQ8K71NHYI15FXVT1BAL3SRELGAAX##A1OPGPTQJ48XOY##Blog_1194965##q1_a1##3XD2A6FGFP838XAXCQPZDM3X9ANS9R,"But in the grand scheme of things , Hartline did exactly what he needed to do in Kentucky 's 27 - 2 win over the Cards : He kept his composure , andre young jr . andre young . andre young jr . dr . dre s son . andre young jr . .",What might have happened had Hartline decided to try something different ?,Kentucky would likely have still won the game comfortably because they had such a big,Kentucky would have been disappointed in Hartline 's performance but happy to win the game regardless,Kentucky would have considered resting Hartline for the next game so that he regathers his compsure,Kentucky may have conceded more points and the game would have been closer,3,1,[ 1.498   2.543  -2.873  -0.5073],0,[-16.219637 -24.351013 -19.747541 -18.475769]
2099,30EV7DWJTVTYSBL1TR2CJ0CO7GV6YO##3OHYZ19UGD3Q7JRW3KGSMYCW26POAM##AO33H4GL9KZX9##Blog_1437893##q1_a1##3MWOYZD5WX29Z7MY6JRVBIOGH5OON2,"they raked and whorled through the clumps of skyscrapers , then something like a tidal wave rushed toward us and all the rest of chicagoland . we thought at first we might be safe at our height in the apartment , but when muddy water came up against three - quarters of the high - set living room windows , we ran for the stairs and the roof . the water came a just few inches from where we stood , slopping over as we hung onto railings , then began to recede .",What might tell us that his narrator is discussing a fiction ?,The fact that he 's talking about a seiche and tidal wave   tells us he 's talking about a fiction .,The fact that he 's talking about a tidal wave in coastal areas tells us he 's talking about a fiction .,None of the above choices .,The fact that he 's talking about a tidal wave in Chicago tells us he 's talking about a fiction .,3,0,[ 0.9956 -1.755  -4.055   0.95  ],1,[-21.38581  -19.034374 -25.622791 -21.015522]
